Weight,Height,Class
31.7,63,German Shepherd
53.1,64,Rottweiler
53.7,64,Rottweiler
50.4,66,Rottweiler
40.8,68,Dobermann
46.9,67,Dobermann
39.2,67,Dobermann
43.0,68,Dobermann
53.8,68,Rottweiler
35.3,62,German Shepherd
43.8,67,Dobermann
58.7,67,Rottweiler
40.7,68,Dobermann
55.2,62,Rottweiler
41.5,68,Dobermann
35.1,60,German Shepherd
43.1,67,Dobermann
55.5,63,Rottweiler
54.9,64,Rottweiler
44.2,66,Dobermann
56.5,67,Rottweiler
37.4,62,German Shepherd
43.2,67,Dobermann
49.2,68,Rottweiler
30.1,64,German Shepherd
41.4,68,Dobermann
47.2,66,Dobermann
42.5,65,Dobermann
35.3,64,German Shepherd
41.0,64,Dobermann
31.7,63,German Shepherd
34.9,63,German Shepherd
55.2,64,Rottweiler
53.3,62,Rottweiler
60.7,69,Rottweiler
46.7,69,Dobermann
42.2,63,Dobermann
42.9,66,Dobermann
55.9,65,Rottweiler
59.6,66,Rottweiler
36.1,64,German Shepherd
37.4,62,German Shepherd
42.2,68,Dobermann
46.2,66,Dobermann
34.1,61,German Shepherd
35.1,63,German Shepherd
51.7,65,Rottweiler
52.9,67,Rottweiler
55.4,62,Rottweiler
53.0,70,Rottweiler
43.3,68,Dobermann
58.5,68,Rottweiler
56.2,62,Rottweiler
44.3,69,Dobermann
31.3,64,German Shepherd
31.8,62,German Shepherd
57.6,64,Rottweiler
38.9,62,German Shepherd
44.6,70,Dobermann
43.5,68,Dobermann
39.4,65,Dobermann
42.2,66,Dobermann
34.5,61,German Shepherd
38.1,64,German Shepherd
50.0,64,Rottweiler
42.7,68,Dobermann
55.1,64,Rottweiler
33.3,67,German Shepherd
40.3,63,German Shepherd
38.0,61,German Shepherd
38.3,64,German Shepherd
42.2,65,Dobermann
44.8,68,Dobermann
55.5,65,Rottweiler
32.0,64,German Shepherd
43.7,67,Dobermann
43.5,67,Dobermann
32.3,64,German Shepherd
54.0,64,Rottweiler
43.4,69,Dobermann
37.3,62,German Shepherd
43.6,68,Dobermann
42.7,67,Dobermann
53.1,67,Rottweiler
58.7,65,Rottweiler
57.3,65,Rottweiler
51.4,63,Rottweiler
56.1,62,Rottweiler
30.9,65,German Shepherd
40.9,70,Dobermann
49.2,69,Rottweiler
43.6,64,Dobermann
48.0,65,Dobermann
38.0,60,German Shepherd
38.1,63,German Shepherd
55.7,64,Rottweiler
35.2,60,German Shepherd
44.5,67,Dobermann
35.5,61,German Shepherd
32.2,63,German Shepherd
56.8,63,Rottweiler
29.7,63,German Shepherd
43.5,65,Dobermann
31.7,64,German Shepherd
32.8,63,German Shepherd
54.3,71,Rottweiler
33.7,62,German Shepherd
45.2,70,Dobermann
55.7,65,Rottweiler
53.2,66,Rottweiler
55.7,65,Rottweiler
43.7,72,Dobermann
35.0,65,German Shepherd
31.7,62,German Shepherd
42.6,68,Dobermann
39.7,62,German Shepherd
41.9,68,Dobermann
36.3,62,German Shepherd
37.8,59,German Shepherd
55.3,65,Rottweiler
42.9,68,Dobermann
39.8,61,German Shepherd
57.2,67,Rottweiler
46.4,66,Dobermann
45.1,72,Dobermann
45.7,71,Dobermann
35.6,63,German Shepherd
31.1,66,German Shepherd
40.9,67,Dobermann
40.4,68,Dobermann
43.3,67,Dobermann
41.6,67,Dobermann
46.2,65,Rottweiler
36.0,64,German Shepherd
30.8,65,German Shepherd
58.6,65,Rottweiler
34.6,63,German Shepherd
40.9,67,Dobermann
56.5,64,Rottweiler
40.7,66,Dobermann
34.7,63,German Shepherd
43.3,67,Dobermann
52.0,66,Rottweiler
32.1,61,German Shepherd
36.8,63,German Shepherd
57.0,67,Rottweiler
