,CO2 per capita,GDP per capita
LIC,0.236733529626072,741.854542136527
LKA,0.998154130133826,4157.28387632309
LMC,1.73095549671914,2316.59754685739
LMY,3.35567673750095,4853.45618641898
LSO,1.21897599376188,1109.25591724481
LTE,6.51825412431905,9352.76188795899
LTU,4.13700592851868,16428.0490108584
LUX,15.3302080763221,104261.936715747
LVA,3.95916507798465,15541.5275665551
MAR,1.85072678357202,3366.85015480517
MDA,3.17183206349277,3260.52737556231
MDG,0.128320761389143,480.915356769806
MDV,3.70367497634302,9823.09084060012
MEA,5.63865714120856,7352.43658697601
MEX,3.74147772536983,9945.77658502165
MHL,3.25275628295556,3396.76093953297
MIC,3.69823452024663,5306.78334929699
MKD,3.53823914751961,5171.37250725789
MLI,0.294583927721055,802.033618195994
MLT,3.19831624125622,27090.9324830243
MMR,0.605492802809427,1348.43055142313
MNA,3.8410407250619,3939.49210252105
MNE,4.0499689020245,7381.77567617556
MNG,6.72509805331754,4235.89194178676
MOZ,0.225115201178573,602.530105424678
MRT,0.908407126272224,1498.80613343161
MUS,3.26404031287368,10335.848574865
MWI,0.0865337262442186,390.949031960054
MYS,7.6002204133699,11067.8510994436
NAC,15.2708756112257,58296.5638341598
NAM,1.73589837846669,4634.59596232482
NER,0.102037038018956,513.59289682599
NGA,0.667110198543523,2512.1923919651
NIC,0.805815232908442,2085.99726187553
NLD,8.7728237338512,47807.5889502256
NOR,7.0313611886935,75953.5586067261
NPL,0.428179218238,1021.33187703376
NRU,6.55553474433414,8417.16853977269
NZL,6.5726645716851,40304.3614288941
OED,8.83526395766937,37300.7372370807
OMN,15.1921243629744,15078.2661706326
OSS,6.40668231484398,12816.9966402076
PAK,0.981820104961691,1502.89134337709
PAN,2.42765632047745,14868.1102926356
PER,1.69681922982601,6574.31669004882
PHL,1.3336909595387,3500.9337892033
PLW,16.191167439004,15968.3881413656
PNG,0.866804456815709,2749.11777751427
POL,8.23547225459022,14332.9166415319
PRE,0.557925927727754,1535.44074357547
PRT,4.84061276050869,21049.1507572086
PRY,1.21045377784493,5871.28131096779
PSS,1.53950416562132,4094.00103031568
PST,9.85358731175486,42803.5355716242
QAT,32.4156391708326,59757.7960864565
ROU,3.84513275926788,10714.0153591551
RUS,11.1266183699469,11875.7332037328
RWA,0.0877908243794144,830.429341227361
SAS,1.52665123826178,1818.17115901726
SAU,15.2687805332958,20067.778733703
SDN,0.483235877575013,2095.04795599961
SEN,0.621912356528099,1360.23927843023
SGP,8.39913483236136,61056.5840322677
SLB,0.566740598232995,2321.13600236059
SLE,0.133330736434022,630.482455396876
SLV,1.0606254107782,3919.81460696325
SOM,0.0459747904898814,289.27959688335
SRB,6.52192219406972,6261.52713908381
SSA,0.763112675571824,1638.17548573734
SSF,0.763618494024364,1639.44778011741
SST,5.85984514417628,11785.7085930857
STP,0.663406497592782,1667.85791865606
SUR,3.61119261372218,9020.44078727509
SVK,6.05863547411852,17708.1299113133
SVN,6.77469533158397,23466.9305272061
SWE,3.53800912688421,52983.0068617482
SWZ,0.959275667664665,3775.50078767501
SYC,6.40747400839172,15810.2673427396
TCD,0.0691315979407054,658.688891935225
TEA,5.78277867100094,7811.48038071627
TEC,7.14175117866091,8680.49329837525
TGO,0.286471388670057,612.785751015325
THA,3.71403920358071,6489.25718582616
TJK,0.805419539521981,1119.64284841807
TKM,12.2596481704872,7349.45910609327
TLA,2.61446299059836,8527.62873331014
TLS,0.504741812732901,1233.28527922195
TMN,3.86134711932321,3945.79677756968
TON,1.84110311146426,4676.77822130352
TSA,1.52665123826178,1818.17115901726
TSS,0.763618494024364,1639.44778011741
TTO,12.7784401237264,16457.1941579602
TUN,2.59225886480332,3954.79611897371
TUR,5.0154183703224,12004.3769123433
TUV,0.869187309865276,3391.39209325592
TZA,0.20563473262264,959.43822982287
UGA,0.143462178127508,871.507264068773
UKR,4.15418063140229,3106.03894594323
UMC,6.26183680415772,9203.19309447432
URY,1.8902440792163,16037.9321087408
USA,15.2408745833286,59821.5922735518
UZB,3.4011912817354,2902.34558174421
VCT,2.54060430088014,7206.698505081
VNM,2.69880592228919,2456.79122406845
VUT,0.615016656701119,2860.01247554305
WLD,4.48352391238305,10843.4185609663
WSM,1.63158753467124,4297.91038253991
YEM,0.326681762802864,1290.92523850809
ZAF,7.4966448945296,5639.90199673467
ZMB,0.446065443448411,1368.60023485774
ZWE,0.849792905399696,1509.52373452279
